00001ANNA LUIZA          1000095009250950F
00002BRUNO               0915093009500850M
00003JOAO                0817085008250750M
00004MATHEUS             0712072107370900M
00005SILVANA             0600060006000300F
00006JOANA               0550055005500250F
00007FIONA               1000100009250900F
00008NATALIA             0615083007500750F
00009EVAN                0850080008050750M
00010TOMAZ               0550065006000600M
00011CRISTIANE           0200065007000500F
00012AMANDA              0750075005500950F
