11122233344Ana Souza                     MGBelo Horizonte                3456789020042010
22233344455Bruno Silva                   SPSao Paulo                     4567890119042010
33344455566Carla Oliveira                RJRio de Janeiro                5678901218042010
44455566677Daniel Santos                 PRCuritiba                      6789012317042009
55566677788Eduardo Pereira               RSPorto Alegre                  7890123416042009
66677788899Fernanda Fernandes            SCFlorianopolis                 8901234515042009
77788899900Gabriel Carvalho              BASalvador                      9012345614042009
88899900011Henrique Oliveira             CEFortaleza                     0123456713042009
99900011122Isabella Santos               GOGoiania                       1234567812042009
00011122233Joao Silva                    MTCuiaba                        2345678911042009
11122233344Karen Pereira                 PERecife                        3456789010042009
22233344455Luana Souza                   ACRio Branco                    4567890109042009
33344455566Marcos Oliveira               AMManaus                        5678901208042009
44455566677Nathalia Fernandes            ESVitoria                       6789012307042009
55566677788Otavio Carvalho               PBJoao Pessoa                   7890123406042009
66677788899Patricia Santos               ROPorto Velho                   8901234505042009
77788899900Rafaela Oliveira              SCJoinville                     9012345604042009
88899900011Samuel Fernandes              SPCampinas                      0123456703042009
99900011122Thais Carvalho                DFBrasilia                      1234567802042009
00011122233Victor Oliveira               RNNatal                         2345678901042009
11122233344Wellington Silva              BAFeira de Santana              3456789031032009
22233344455Yasmin Santos                 PBCampina Grande                4567890130032011
33344455566Ana Carolina Oliveira         SPSao Bernardo do Campo         5678901229032011
44455566677Bruno Fernandes               RJNiteroi                       6789012328032011
55566677788Camila Carvalho               MGContagem                      7890123427032011
66677788899Daniel Oliveira               RSPelotas                       8901234526032011
77788899900Eduarda Fernandes             BAVitoria da Conquista          9012345625032011
88899900011Fabio Santos                  PRLondrina                      0123456724032011
99900011122Gabriela Carvalho             GOAparecida de Goiania          1234567823032011
00011122233Henrique Silva                MSCampo Grande                  2345678922032011
12345678901Amanda Rodrigues              MGUberlandia                    1234567811042011
23456789012Beatriz Almeida               GOAnapolis                      2345678910042011
34567890123Carlos Oliveira               PRMaringa                       3456789029042011
45678901234Daniela Souza                 RSNovo Hamburgo                 4567890126042011
56789012345Elias Santos                  SPJundiai                       5678901219042011
67890123456Fabiana Pereira               MSLondrina                      6789012315042011
78901234567Gabriel Oliveira              RJNiteroi                       7890123412042011
89012345678Henrique Carvalho             RSUruguaiana                    8901234527042011
90123456789Isadora Fernandes             AMManaus                        9012345630042011
